Questions,Blooms Taxonomy
"In Table 13.2, what limitations should be placed in the use of cyg_drv_mutex_ destroy?",Evaluate
"Consider a hypothetical microprocessor generating a 16-bit address and having a 16-bit data bus. If an input and an output instruction can specify an 8-bit I/O port number, how many 8-bit I/O ports can the microprocessor support? How many 16-bit I/O ports? Explain.",Analyze
"Let be the percentage of program code that can be executed simultaneously by n computers in a cluster, each computer using a different set of parameters or initial conditions. Assume that the remaining code must be executed sequentially by a single processor. Each processor has an execution rate of x MIPS. If n 16 and x 4 MIPS, determine the value of that will yield a system performance of 40 MIPS.",Analyze
What is an interrupt?,Remember
Suggest an additional resource constraint that will prevent the deadlock in Problem 6.7 but still permit the boundary between input and output buffers to vary in accordance with the present needs of the processes.,Create
What is virtual memory?,Understand
Why is it not possible to enforce memory protection at compile time?,Evaluate
"Consider the disk system described in Problem 11.7, and assume that the disk rotates at 360 rpm. A processor reads one sector from the disk using interrupt-driven I/O, with one interrupt per byte. If it takes 2.5 Ð»_s to process each interrupt, what percentage of the time will the processor spend handling I/O (disregard seek time)?",Analyze
What is the difference between a bot and a rootkit?,Understand
What kind of operations are possible on a semaphore?,Analyze
Consider Figure 5.13. Would the meaning of the program change if the following were interchanged? a. semWait(e);semWait(s) b. semSignal(s);semSignal(n) c. semWait(n);semWait(s) d. semSignal(s);semSignal(e),Evaluate
Explain SMP.,Understand
What are the advantages of a multiprocessor system?,Evaluate
List and briefly define three blocking methods.,Understand
"Assume that passwords are selected from four-character combinations of 26 alphabetic characters. Assume that an adversary is able to attempt passwords at a rate of one per second. a. Assuming no feedback to the adversary until each attempt has been completed, what is the expected time to discover the correct password? b. Assuming feedback to the adversary flagging an error as each incorrect character is entered, what is the expected time to discover the correct password?",Analyze
Is non-pre-emptive scheduling frequently used in a computer? Why?,Understand
What is time-stamping?,Understand
What is a daemon?,Understand
What is the typical disk sector size?,Remember
Consider the following fragment in an authentication program: <CODE> What type of malicious software is this?,Analyze
"Calculate how much disk space (in sectors, tracks, and surfaces) will be required to store 300,000 120-byte logical records if the disk is fixed sector with 512 bytes/ sector, with 96 sectors/track, 110 tracks per surface, and 8 usable surfaces. Ignore any file header record(s) and track indexes, and assume that records cannot span two sectors.",Analyze
What is a device queue?,Remember
"Define: B block size, R record size, P size of block pointer, F blocking factor;",Understand
What are typical operations that may be performed on a directory?,Remember
Now consider this correct solution to the preceding problem: <CODE> Explain how this program works and why it is correct.,Evaluate
What is FtDisk?,Remember
Consider a hypothetical microprocessor generating a 16-bit address and having a 16-bit data bus. What architectural features will allow this microprocessor to access a separate â€°Ð«ÐŸI/O spaceâ€°Ð«Ñœ?,Apply
Explain the handheld systems. List the issues related to the handheld system.,Understand
List reasons why a mode switch between threads may be cheaper than a mode switch between processes.,Analyze
What is the difference between a page and a segment?,Understand
What is pre-emptive and non-preemptive scheduling?,Remember
"What is the purpose of system calls, and how do system calls relate to the OS and to the concept of dual-mode (kernel-mode and user-mode) operation?",Analyze
The following equation was suggested both for cache memory and disk cache memory: TS =TC +M*TD Generalize this equation to a memory hierarchy with N levels instead of just 2.,Create
"When designing the file structure for an operating system, what attributes are considered?",Remember
What types of programming languages are vulnerable to buffer overflows?,Analyze
List and briefly define three intruder behavior patterns.,Remember
List and briefly define five different categories of synchronization granularity.,Understand
"In the THE multiprogramming system, a page can make the following state transitions: <CONDITIONS> Can any of them lead to a buffer transitions in terms of the quantities i, o, and p. deadlock if the assumptions made in Problem 6.6 about input processes, user processes, and output processes hold?",Analyze
What is SMP?,Understand
Why is partitioning and formatting a prerequisite to installing an operating system?,Understand
What is the best page size when designing an operating system?,Evaluate
